2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B),남녀성비<br>(A÷B×100),남자인구수<br>(A),여자인구수<br>(B)
98.9,273871,276960,99.1,274841,277456,99.3,276693,278669,99.6,278281,279288,99.7,278854,279642,99.7,279246,280012,99.8,280088,280530,100,281319,281344,100,285582,285673,100.1,288152,288004,100.2,292213,291500,100.4,297504,296302,100.6,304656,302690,100.8,313428,310967,101.1,322545,319052,101.4,330823,326260,101.3,335719,331472,101.1,337345,333644,100.8,338609,336026,100.5,339177,337582,100.3,339590,338569
