년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2022-01",185,6.1,4.2,8.4
"			2022-02",185,5.2,2.9,7.7
"			2022-03",185,10.8,7.9,14.3
"			2022-04",185,14.8,11.9,18.4
"			2022-05",185,18.1,15.2,21.9
"			2022-06",185,22.1,19.9,25.1
"			2022-07",185,27,24.7,30
"			2022-08",185,27.7,25.8,30.2
"			2022-09",185,23.8,21.4,26.8
"			2022-10",185,18,15.5,20.9
"			2022-11",185,15.5,12.6,18.9
"			2022-12",185,7.3,5,9.8
