년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2022-01",188,5.5,2.9,8.7
"			2022-02",188,4.7,1.1,8.1
"			2022-03",188,11.1,6.6,15.3
"			2022-04",188,15.2,11,19.4
"			2022-05",188,18.5,14,23.1
"			2022-06",188,22.1,19.6,24.9
"			2022-07",188,26.8,24.1,29.9
"			2022-08",188,27.8,24.9,31.2
"			2022-09",188,23.7,21.4,26.5
"			2022-10",188,17.9,14.6,21.1
"			2022-11",188,14.8,10.9,18.9
"			2022-12",188,5.6,2.4,8.9
